PQID,CMT_AMT,UID,UNM,Month,Day,Year,CAT
H0AL07086,1000,C00226472,"SEWELL, TERRYCINA ANDREA",3,21,2011,DEM
H0AR02107,1000,C00226472,"GRIFFIN, JOHN TIMOTHY",6,23,2011,REP
H0AR03055,2000,C00176727,"WOMACK, STEVE",6,30,2011,REP
H0AR03055,2000,C00176727,"WOMACK, STEVE",10,31,2011,REP
H0AZ01259,2000,C00313650,"GOSAR, PAUL ANTHONY",7,13,2012,REP
H0AZ03362,1000,C00313650,"QUAYLE, BEN",6,24,2011,REP
H0AZ03362,1000,C00309146,"QUAYLE, BEN",9,26,2011,REP
H0AZ03362,2500,C00313650,"QUAYLE, BEN",3,19,2012,REP
H0AZ08056,1000,C00309146,"PATON, JONATHAN",9,17,2012,REP
H0CA19173,1000,C00313650,"DENHAM, JEFF",6,24,2011,REP
H0CA19173,2000,C00389403,"DENHAM, JEFF",11,30,2011,REP
H0CA19173,1000,C00101766,"DENHAM, JEFF",6,27,2012,REP
H0CA19173,1000,C00313650,"DENHAM, JEFF",7,30,2012,REP
H0CA19173,1000,C00078261,"DENHAM, JEFF",9,7,2012,REP
H0CA19173,1000,C00078261,"DENHAM, JEFF",9,19,2012,REP
H0CA48024,1000,C00078261,"ISSA, DARRELL ",9,7,2012,REP
H0CO04122,1000,C00101766,"GARDNER, CORY",6,27,2012,REP
H0CT03072,1250,C00168070,"DELAURO, ROSA L",2,15,2011,DEM
H0DE01017,1000,C00313650,"CARNEY, JOHN CHARLES JR",9,5,2012,DEM
H0FL12101,1000,C00226472,"ROSS, DENNIS ALAN",5,19,2011,REP
H0FL12101,1000,C00366070,"ROSS, DENNIS ALAN",3,21,2012,REP
H0FL12101,1000,C00366070,"ROSS, DENNIS ALAN",5,10,2012,REP
H0FL17068,1000,C00309146,"WILSON, FREDERICA S",9,28,2012,DEM
H0FL18025,2500,C00366070,"ROS-LEHTINEN, ILEANA",3,5,2011,REP
H0FL18025,2500,C00366070,"ROS-LEHTINEN, ILEANA",3,9,2012,REP
H0FL18025,2500,C00366070,"ROS-LEHTINEN, ILEANA",3,9,2012,REP
H0FL24049,1000,C00309146,"ADAMS, SANDY",9,26,2011,REP
H0GA08099,2500,C00367995,"SCOTT, JAMES AUSTIN",5,16,2012,REP
H0IL05096,1000,C00101766,"QUIGLEY, MIKE",6,14,2011,DEM
H0IL05096,1000,C00078261,"QUIGLEY, MIKE",3,7,2012,DEM
H0IL05096,1000,C00101766,"QUIGLEY, MIKE",6,28,2012,DEM
H0IL08090,1000,C00101766,"WALSH, JOE",6,2,2011,REP
H0IL10302,2000,C00101766,"DOLD, ROBERT JAMES MR JR",6,22,2011,REP
H0IL10302,1000,C00101766,"DOLD, ROBERT JAMES MR JR",10,10,2011,REP
H0IL10302,1000,C00309146,"DOLD, ROBERT JAMES MR JR",6,26,2012,REP
H0IL10302,1000,C00078261,"DOLD, ROBERT JAMES MR JR",9,19,2012,REP
H0IL10302,1000,C00078261,"DOLD, ROBERT JAMES MR JR",9,21,2012,REP
H0IL11052,1000,C00101766,"KINZINGER, ADAM",11,17,2011,REP
H0IL14080,1000,C00101766,"HULTGREN, RANDY",9,8,2011,REP
H0IL14080,2000,C00101766,"HULTGREN, RANDY",9,21,2011,REP
H0IL14080,1000,C00101766,"HULTGREN, RANDY",5,31,2012,REP
H0IL14080,1000,C00078261,"HULTGREN, RANDY",9,19,2012,REP
H0IL15053,1000,C00078261,"JOHNSON, TIMOTHY V",11,17,2011,REP
H0IL16085,1000,C00101766,"MANZULLO, DONALD A.",11,2,2011,REP
H0IL16085,2000,C00389403,"MANZULLO, DONALD A.",11,30,2011,REP
H0IL17059,1000,C00101766,"SCHILLING, ROBERT T.",5,12,2011,REP
H0IL17059,1000,C00078261,"SCHILLING, ROBERT T.",11,17,2011,REP
H0IL17059,1000,C00078261,"SCHILLING, ROBERT T.",9,7,2012,REP
H0IN02125,1000,C00309146,"MESSER, ALLEN LUCAS",9,11,2012,REP
H0KY05015,1000,C00176727,"ROGERS, HAROLD DALLAS",3,31,2011,REP
H0KY05015,1000,C00176727,"ROGERS, HAROLD DALLAS",8,31,2011,REP
H0KY05015,1000,C00485003,"ROGERS, HAROLD DALLAS",11,11,2011,REP
H0KY05015,2500,C00078261,"ROGERS, HAROLD DALLAS",12,9,2011,REP
H0KY05015,2000,C00485003,"ROGERS, HAROLD DALLAS",2,9,2012,REP
H0KY05015,2000,C00176727,"ROGERS, HAROLD DALLAS",8,6,2012,REP
H0LA01087,2500,C00226472,"SCALISE, STEVE MR.",4,28,2011,REP
H0LA01087,1000,C00226472,"SCALISE, STEVE MR.",8,10,2011,REP
H0LA01087,1000,C00226472,"SCALISE, STEVE MR.",5,24,2012,REP
H0MI10071,2500,C00168070,"CAMP, DAVID LEE",2,15,2011,REP
H0MI10071,1000,C00176727,"CAMP, DAVID LEE",6,30,2011,REP
H0MI10071,1000,C00309146,"CAMP, DAVID LEE",8,17,2011,REP
H0MI10071,1000,C00309146,"CAMP, DAVID LEE",7,12,2012,REP
H0MI10071,2500,C00168070,"CAMP, DAVID LEE",7,30,2012,REP
H0MI10071,2000,C00078261,"CAMP, DAVID LEE",8,24,2012,REP
H0MN08115,2000,C00101766,"CRAVAACK, RAYMOND J MR.",6,2,2011,REP
H0MN08115,1000,C00078261,"CRAVAACK, RAYMOND J MR.",9,10,2012,REP
H0MN08115,1000,C00078261,"CRAVAACK, RAYMOND J MR.",9,19,2012,REP
H0MO00019,1000,C00176727,"CARNAHAN, JOHN RUSSELL",7,27,2012,DEM
H0MO06073,1000,C00313650,"GRAVES, SAMUEL B 'SAM'",7,30,2012,REP
H0MO07113,1000,C00101766,"LONG, BILLY",5,12,2011,REP
H0MS01043,5000,C00202861,"NUNNELEE, PATRICK ALAN",2,16,2012,REP
H0MS01043,1000,C00226472,"NUNNELEE, PATRICK ALAN",6,7,2012,REP
H0MS01043,5000,C00202861,"NUNNELEE, PATRICK ALAN",9,18,2012,REP
H0MS02066,5000,C00202861,"MARCY, WILLIAM LOUIS",9,18,2012,REP
H0MS04120,1000,C00309146,"PALAZZO, STEVEN MCCARTY",7,7,2011,REP
H0MS04120,1000,C00226472,"PALAZZO, STEVEN MCCARTY",3,6,2012,REP
H0MS04120,5000,C00202861,"PALAZZO, STEVEN MCCARTY",3,7,2012,REP
H0MS04120,5000,C00202861,"PALAZZO, STEVEN MCCARTY",9,18,2012,REP
H0MT00033,2500,C00485003,"REHBERG, DENNIS R",4,19,2011,REP
H0MT00033,1000,C00485003,"REHBERG, DENNIS R",6,9,2011,REP
H0MT00033,2000,C00485003,"REHBERG, DENNIS R",7,22,2011,REP
H0MT00033,3000,C00485003,"REHBERG, DENNIS R",8,6,2011,REP
H0NH01217,2000,C00366070,"GUINTA, FRANK",9,20,2012,REP
H0NJ01066,1000,C00101766,"ANDREWS, ROBERT E. MR.",5,11,2011,DEM
H0NJ01066,1000,C00101766,"ANDREWS, ROBERT E. MR.",9,8,2011,DEM
H0NJ01066,5000,C00142315,"ANDREWS, ROBERT E. MR.",3,26,2012,DEM
H0NJ01066,1000,C00101766,"ANDREWS, ROBERT E. MR.",6,27,2012,DEM
H0NJ01066,1000,C00313650,"ANDREWS, ROBERT E. MR.",10,8,2012,DEM
H0NJ03153,1000,C00309146,"RUNYAN, JON",9,30,2011,REP
H0NJ03153,1000,C00078261,"RUNYAN, JON",11,17,2011,REP
H0NJ03153,1000,C00078261,"RUNYAN, JON",3,21,2012,REP
H0NJ03153,1000,C00309146,"RUNYAN, JON",3,28,2012,REP
H0NJ03153,1000,C00078261,"RUNYAN, JON",9,19,2012,REP
H0NJ10026,1000,C00101766,"PAYNE, DONAL M.",11,17,2011,DEM
H0NJ10026,1000,C00309146,"PAYNE, DONAL M.",12,6,2011,DEM
H0NV03058,2000,C00367995,"HECK, JOE",9,19,2011,REP
H0NV03058,1000,C00367995,"HECK, JOE",11,15,2011,REP
H0NV03058,5000,C00142315,"HECK, JOE",12,20,2011,REP
H0NV03058,1000,C00367995,"HECK, JOE",2,6,2012,REP
H0NV03058,1000,C00367995,"HECK, JOE",5,17,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,24,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,25,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,26,2012,REP
H0NV03058,580,C00484287,"HECK, JOE",10,27,2012,REP
H0NV03058,1025,C00484287,"HECK, JOE",10,27,2012,REP
H0NV03058,1615,C00484287,"HECK, JOE",10,27,2012,REP
H0NV03058,949,C00484287,"HECK, JOE",10,27,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,28,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,30,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",10,31,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,1,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,2,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,3,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,4,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,5,2012,REP
H0NV03058,538,C00484287,"HECK, JOE",11,6,2012,REP
H0NY19139,1000,C00309146,"HAYWORTH, NAN",3,21,2012,REP
H0NY20095,1000,C00078261,"GIBSON, CHRISTOPHER P",9,19,2012,REP
H0NY29054,1000,C00101766,"REED, THOMAS W II",9,13,2011,REP
H0OH06189,1000,C00101766,"JOHNSON, BILL",10,26,2011,REP
H0OH06189,1148,C00484287,"JOHNSON, BILL",10,8,2012,REP
H0OH06189,1223,C00484287,"JOHNSON, BILL",10,9,2012,REP
H0OH06189,1223,C00484287,"JOHNSON, BILL",10,10,2012,REP
H0OH06189,1223,C00484287,"JOHNSON, BILL",10,11,2012,REP
H0OH06189,1223,C00484287,"JOHNSON, BILL",10,12,2012,REP
H0OH06189,1223,C00484287,"JOHNSON, BILL",10,13,2012,REP
H0OH06189,1303,C00484287,"JOHNSON, BILL",10,14,2012,REP
H0OH06189,1648,C00484287,"JOHNSON, BILL",10,15,2012,REP
H0OH06189,1869,C00484287,"JOHNSON, BILL",10,16,2012,REP
H0OH06189,1869,C00484287,"JOHNSON, BILL",10,17,2012,REP
H0OH06189,1966,C00484287,"JOHNSON, BILL",10,20,2012,REP
H0OH06189,2430,C00484287,"JOHNSON, BILL",10,27,2012,REP
H0OH06189,2350,C00484287,"JOHNSON, BILL",10,28,2012,REP
H0OH06189,2420,C00484287,"JOHNSON, BILL",10,29,2012,REP
H0OH06189,2420,C00484287,"JOHNSON, BILL",10,30,2012,REP
H0OH06189,2284,C00484287,"JOHNSON, BILL",10,31,2012,REP
H0OH06189,2352,C00484287,"JOHNSON, BILL",11,1,2012,REP
H0OH06189,2352,C00484287,"JOHNSON, BILL",11,2,2012,REP
H0OH06189,2352,C00484287,"JOHNSON, BILL",11,3,2012,REP
H0OH06189,2352,C00484287,"JOHNSON, BILL",11,4,2012,REP
H0OH06189,2469,C00484287,"JOHNSON, BILL",11,5,2012,REP
H0OH06189,2469,C00484287,"JOHNSON, BILL",11,6,2012,REP
H0OH08029,5000,C00142315,"BOEHNER, JOHN A",7,27,2011,REP
H0OH08029,5000,C00142315,"BOEHNER, JOHN A",7,27,2011,REP
H0OH08029,3000,C00078261,"BOEHNER, JOHN A",9,19,2012,REP
H0OH08029,5000,C00451153,"BOEHNER, JOHN A",9,28,2012,REP
H0OH12062,5000,C00101766,"TIBERI, PATRICK J.",9,23,2011,REP
H0OH12062,4000,C00101766,"TIBERI, PATRICK J.",9,23,2011,REP
H0OH12062,1000,C00309146,"TIBERI, PATRICK J.",9,17,2012,REP
H0OH16097,1500,C00101766,"RENACCI, JAMES B",6,14,2011,REP
H0OH16097,1000,C00309146,"RENACCI, JAMES B",9,26,2011,REP
H0OH16097,1000,C00078261,"RENACCI, JAMES B",12,9,2011,REP
H0OH16097,1000,C00078261,"RENACCI, JAMES B",3,21,2012,REP
H0OH16097,1000,C00101766,"RENACCI, JAMES B",6,7,2012,REP
H0OH16097,1000,C00078261,"RENACCI, JAMES B",9,19,2012,REP
H0OH16097,1522,C00484287,"RENACCI, JAMES B",10,24,2012,REP
H0OH18077,1000,C00101766,"GIBBS, BOB",6,2,2011,REP
H0OH18077,1000,C00101766,"GIBBS, BOB",6,7,2012,REP
H0OK05114,2500,C00366070,"LANKFORD, JAMES PAUL",4,22,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,10,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,11,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,12,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,13,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,14,2012,REP
H0PA04220,812,C00484287,"ROTHFUS, KEITH MR.",9,18,2012,REP
H0PA04220,812,C00484287,"ROTHFUS, KEITH MR.",9,19,2012,REP
H0PA04220,812,C00484287,"ROTHFUS, KEITH MR.",9,20,2012,REP
H0PA04220,812,C00484287,"ROTHFUS, KEITH MR.",9,21,2012,REP
H0PA04220,812,C00484287,"ROTHFUS, KEITH MR.",9,22,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",9,29,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",10,1,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",10,2,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",10,3,2012,REP
H0PA04220,541,C00484287,"ROTHFUS, KEITH MR.",10,4,2012,REP
H0PA07082,1000,C00309146,"MEEHAN, PATRICK L. MR. JR.",3,28,2012,REP
H0PA07082,2000,C00313650,"MEEHAN, PATRICK L. MR. JR.",6,27,2012,REP
H0PA07082,2000,C00313650,"MEEHAN, PATRICK L. MR. JR.",7,30,2012,REP
H0PA12132,2500,C00309146,"CRITZ, MARK",8,22,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,10,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,11,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,12,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,13,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,14,2012,DEM
H0PA12132,812,C00484287,"CRITZ, MARK",9,18,2012,DEM
H0PA12132,812,C00484287,"CRITZ, MARK",9,19,2012,DEM
H0PA12132,812,C00484287,"CRITZ, MARK",9,20,2012,DEM
H0PA12132,812,C00484287,"CRITZ, MARK",9,21,2012,DEM
H0PA12132,812,C00484287,"CRITZ, MARK",9,22,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",9,29,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",10,1,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",10,2,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",10,3,2012,DEM
H0PA12132,541,C00484287,"CRITZ, MARK",10,4,2012,DEM
H0SC04257,1000,C00313650,"GOWDY, TREY",9,5,2012,REP
H0SC05031,2500,C00313650,"MULVANEY, JOHN MICHAEL 'MICK'",9,5,2012,REP
H0SD00054,1000,C00309146,"NOEM, KRISTI LYNN",7,12,2011,REP
H0SD00054,1000,C00309146,"NOEM, KRISTI LYNN",3,28,2012,REP
H0SD00054,1000,C00485003,"NOEM, KRISTI LYNN",9,20,2012,REP
H0TN06257,2500,C00226472,"BLACK, DIANE L MRS.",2,3,2011,REP
H0TN06257,2500,C00226472,"BLACK, DIANE L MRS.",6,23,2011,REP
H0TN06257,2500,C00226472,"BLACK, DIANE L MRS.",2,29,2012,REP
H0TN06257,1000,C00226472,"BLACK, DIANE L MRS.",6,27,2012,REP
H0TN08287,1000,C00202861,"FLINN, GEORGE S. JR.",9,18,2012,REP
H0TX07055,1000,C00101766,"CULBERSON, JOHN",5,3,2011,REP
H0TX07055,1000,C00101766,"CULBERSON, JOHN",9,23,2011,REP
H0TX07055,1000,C00366070,"CULBERSON, JOHN",10,11,2011,REP
H0TX07055,1000,C00078261,"CULBERSON, JOHN",2,29,2012,REP
H0TX07055,1000,C00366070,"CULBERSON, JOHN",8,1,2012,REP
H0TX07055,3000,C00078261,"CULBERSON, JOHN",9,19,2012,REP
H0TX17104,1000,C00101766,"FLORES, BILL",6,21,2011,REP
H0TX17104,2000,C00101766,"FLORES, BILL",9,13,2011,REP
H0TX17104,1000,C00078261,"FLORES, BILL",9,7,2012,REP
H0TX27061,1000,C00101766,"FARENTHOLD, RANDOLPH BLAKE",5,11,2011,REP
H0UT02096,1500,C00384602,"MATHESON, JAMES D",5,26,2011,DEM
H0UT02096,2500,C00384602,"MATHESON, JAMES D",12,20,2011,DEM
H0UT02096,1000,C00384602,"MATHESON, JAMES D",3,13,2012,DEM
H0UT02096,1500,C00384602,"MATHESON, JAMES D",3,13,2012,DEM
H0UT02096,3500,C00384602,"MATHESON, JAMES D",8,21,2012,DEM
H0VA07042,1000,C00168070,"CANTOR, ERIC IVAN",2,15,2011,REP
H0VA07042,3000,C00078261,"CANTOR, ERIC IVAN",6,27,2011,REP
H0VA07042,1000,C00078261,"CANTOR, ERIC IVAN",6,27,2011,REP
H0VA07042,5000,C00451153,"CANTOR, ERIC IVAN",9,20,2011,REP
H0VA07042,1000,C00366070,"CANTOR, ERIC IVAN",11,3,2011,REP
H0VA07042,2000,C00101766,"CANTOR, ERIC IVAN",7,17,2012,REP
H0VA07042,1000,C00168070,"CANTOR, ERIC IVAN",10,17,2012,REP
H0VA08040,1500,C00366070,"MORAN, JAMES P JR",6,7,2011,DEM
H0VA08040,1000,C00313650,"MORAN, JAMES P JR",9,5,2012,DEM
H0VA08040,1000,C00078261,"MORAN, JAMES P JR",9,19,2012,DEM
H0WA02080,1000,C00101766,"LARSEN, RICK",6,23,2011,DEM
H0WA02080,1000,C00078261,"LARSEN, RICK",3,21,2012,DEM
H0WA02080,1000,C00078261,"LARSEN, RICK",9,19,2012,DEM
H0WA02080,2000,C00485003,"LARSEN, RICK",9,20,2012,DEM
H0WA03187,1000,C00485003,"HERRERA BEUTLER, JAIME",9,20,2012,REP
H0WI06061,2000,C00101766,"PETRI, THOMAS",7,25,2011,REP
H0WI06061,1000,C00078261,"PETRI, THOMAS",3,21,2012,REP
H0WI07051,1000,C00078261,"DUFFY, SEAN",9,19,2012,REP
H0WI08075,1000,C00366070,"RIBBLE, REID",9,21,2011,REP
H0WI08075,1000,C00366070,"RIBBLE, REID",7,18,2012,REP
H0WI08075,1000,C00078261,"RIBBLE, REID",9,10,2012,REP
H0WI08075,1000,C00366070,"RIBBLE, REID",9,13,2012,REP
H0WV02138,1000,C00101766,"CAPITO, SHELLEY MOORE MS.",11,30,2011,REP
H2AL01077,3000,C00226472,"BONNER, JOSIAH ROBIAS",7,28,2011,REP
H2AL01077,2000,C00226472,"BONNER, JOSIAH ROBIAS",1,24,2012,REP
H2AL03032,1500,C00176727,"ROGERS, MICHAEL DENNIS",2,28,2011,REP
H2AL03032,2000,C00101766,"ROGERS, MICHAEL DENNIS",6,14,2011,REP
H2AL03032,1000,C00176727,"ROGERS, MICHAEL DENNIS",6,30,2011,REP
H2AL03032,1000,C00176727,"ROGERS, MICHAEL DENNIS",8,31,2011,REP
H2AL03032,1000,C00176727,"ROGERS, MICHAEL DENNIS",2,24,2012,REP
H2AL03032,1000,C00176727,"ROGERS, MICHAEL DENNIS",6,30,2012,REP
H2AL03032,1000,C00313650,"ROGERS, MICHAEL DENNIS",9,5,2012,REP
H2AL03032,2000,C00078261,"ROGERS, MICHAEL DENNIS",9,10,2012,REP
H2AL06035,10000,C00034785,"BACHUS, SPENCER T III",6,9,2011,REP
H2AL06035,5000,C00034785,"BACHUS, SPENCER T III",1,30,2012,REP
H2AL06035,5000,C00034785,"BACHUS, SPENCER T III",1,30,2012,REP
H2AL06035,2500,C00226472,"BACHUS, SPENCER T III",2,20,2012,REP
H2AL06126,1000,C00226472,"BEASON, SCOTT",6,4,2012,REP
H2AZ02055,2000,C00176727,"PASTOR, ED L",5,31,2011,DEM
H2AZ02055,1000,C00313650,"PASTOR, ED L",6,24,2011,DEM
H2AZ02055,1000,C00176727,"PASTOR, ED L",10,31,2011,DEM
H2AZ02055,3500,C00176727,"PASTOR, ED L",5,9,2012,DEM
H2AZ02055,1500,C00313650,"PASTOR, ED L",9,5,2012,DEM
H2AZ02055,2000,C00078261,"PASTOR, ED L",9,10,2012,DEM
H2AZ09019,1000,C00313650,"SINEMA, KYRSTEN",10,5,2012,DEM
H2CA00104,1000,C00309146,"LOWENTHAL, ALAN",8,24,2012,DEM
H2CA00120,1000,C00309146,"BROWNLEY, JULIA",8,22,2012,DEM
H2CA30143,1000,C00101766,"BECERRA, XAVIER",6,14,2011,DEM
H2CA30143,1000,C00168070,"BECERRA, XAVIER",10,7,2011,DEM
H2CA30143,2000,C00101766,"BECERRA, XAVIER",6,27,2012,DEM
H2CA47105,1000,C00309146,"DELONG, GARY",9,17,2012,REP
H2CO03138,1712,C00484287,"PACE, SALVATORE II",10,30,2012,DEM
H2CO03138,1712,C00484287,"PACE, SALVATORE II",10,31,2012,DEM
H2CO03138,1712,C00484287,"PACE, SALVATORE II",11,1,2012,DEM
H2CO03138,1712,C00484287,"PACE, SALVATORE II",11,2,2012,DEM
H2CO03138,1712,C00484287,"PACE, SALVATORE II",11,3,2012,DEM
H2CO03138,1712,C00484287,"PACE, SALVATORE II",11,4,2012,DEM
H2CO03138,1006,C00484287,"PACE, SALVATORE II",11,5,2012,DEM
H2CO03138,1006,C00484287,"PACE, SALVATORE II",11,6,2012,DEM
H2FL08055,1000,C00168070,"MICA, JOHN L. MR.",5,20,2011,REP
H2FL08055,1000,C00366070,"MICA, JOHN L. MR.",9,20,2011,REP
H2FL08055,3000,C00101766,"MICA, JOHN L. MR.",10,18,2011,REP
H2FL08055,2500,C00226472,"MICA, JOHN L. MR.",11,4,2011,REP
H2FL08055,1000,C00176727,"MICA, JOHN L. MR.",11,15,2011,REP
H2FL08055,1000,C00101766,"MICA, JOHN L. MR.",11,17,2011,REP
H2FL08055,2000,C00101766,"MICA, JOHN L. MR.",11,17,2011,REP
H2FL08055,4000,C00078261,"MICA, JOHN L. MR.",3,21,2012,REP
H2FL08055,1000,C00226472,"MICA, JOHN L. MR.",3,27,2012,REP
H2FL08055,1000,C00176727,"MICA, JOHN L. MR.",6,30,2012,REP
H2FL08055,2000,C00176727,"MICA, JOHN L. MR.",7,27,2012,REP
H2FL08055,2500,C00366070,"MICA, JOHN L. MR.",9,12,2012,REP
H2FL14053,1000,C00309146,"FRANKEL, LOIS J.",8,24,2012,DEM
H2FL22072,691,C00521013,"MURPHY, PATRICK",9,1,2012,DEM
H2FL22072,68193,C00521013,"MURPHY, PATRICK",10,1,2012,DEM
H2FL25018,1000,C00313650,"DIAZ-BALART, MARIO",9,5,2012,REP
H2GA01157,2000,C00367995,"KINGSTON, JACK REP.",1,18,2011,REP
H2GA01157,5000,C00367995,"KINGSTON, JACK REP.",7,20,2012,REP
H2GA11149,1500,C00384602,"GINGREY, J. PHILLIP",10,12,2011,REP
H2GA11149,1000,C00384602,"GINGREY, J. PHILLIP",10,11,2012,REP
H2GU00033,1000,C00101766,"BORDALLO, MADELEINE Z. MS.",6,23,2011,DEM
H2HI02110,1000,C00078261,"HANABUSA, COLLEEN WAKAKO",9,10,2012,DEM
H2IL01042,1000,C00309146,"RUSH, BOBBY L",9,5,2012,DEM
H2IL12114,1000,C00366070,"HARRIMAN, BRAD J",7,31,2012,DEM
H2IL12122,1000,C00366070,"ENYART, WILLIAM L JR",7,25,2012,DEM
